,Unstandardised Residuals,Standardised Residuals,Date,Loss,Estimated VaR 95%,Estimated VaR 99%,Estimated ES 95%,Estimated ES 99%,var_95_hist,var_99_hist
596,0.009228902145786755,1.0353512067926829,3/20/2015,0.009228902145786755,0.014732376501865043,0.01910021242135072,0.018577841866951827,0.02649795766403768,1.6527625441443898,2.1427714443228854
601,0.002156574134489553,0.24370989726990872,3/27/2015,0.002156574134489553,0.014625195747415505,0.018961254855529103,0.018442684643194207,0.026305180138059853,1.6527625441443898,2.1427714443228854
602,0.014789398497065953,1.7205752839468649,3/30/2015,0.014789398497065953,0.014206506460039793,0.018418433110075634,0.017914708496829225,0.02555211690960766,1.6527625441443898,2.1427714443228854
605,0.0038918646933323586,0.4344366336688622,4/2/2015,0.0038918646933323586,0.014921420660317002,0.019195840966757628,0.018690983364787247,0.02663062431149513,1.665631328943928,2.1427714443228854
606,0.006520286967402811,0.7462273544267631,4/6/2015,0.006520286967402811,0.014553733767845665,0.018722825744272028,0.018230408614763004,0.025974404523810567,1.665631328943928,2.1427714443228854
608,0.0013085970393698076,0.15655351842985174,4/8/2015,0.0013085970393698076,0.013815085050405709,0.01791096358746812,0.017431690436498504,0.024848098251112952,1.6527625441443898,2.1427714443228854
609,0.00349803579145469,0.43129833388217415,4/9/2015,0.00349803579145469,0.013404694801747616,0.01737890136899114,0.016913865483075184,0.02410996184567291,1.6527625441443898,2.1427714443228854
610,0.006151136112684696,0.7776457981851282,4/10/2015,0.006151136112684696,0.01307326213901687,0.01694920597933491,0.01649566816064197,0.02351384019045952,1.6527625441443898,2.1427714443228854
612,0.0030761011745772393,0.40191178111941595,4/14/2015,0.0030761011745772393,0.012501328713791957,0.01640007102646679,0.015957475795199766,0.022752018572356605,1.6333764738443461,2.1427714443228854
613,0.003969100764432021,0.5321460703433682,4/15/2015,0.003969100764432021,0.012182812525060427,0.0159822203933166,0.015550901863066038,0.02217232929231864,1.6333764738443461,2.1427714443228854
614,0.0004420355603693693,0.060581785575523656,4/16/2015,0.0004420355603693693,0.011917946591551732,0.015634751718467524,0.015212810463367457,0.021690281761504893,1.6333764738443461,2.1427714443228854
616,0.011819154608303961,1.5008869646380607,4/20/2015,0.011819154608303961,0.01286248034180783,0.016873853652808742,0.01641847226160755,0.023409302988771377,1.6308741412398007,2.1427714443228854
618,0.004393694223874256,0.5499389110303716,4/22/2015,0.004393694223874256,0.013029742305023885,0.017119506056344887,0.01663629082450257,0.02375009956450441,1.6308741412398007,2.1427714443228854
619,0.002645399570714524,0.3382673340057204,4/23/2015,0.002645399570714524,0.012754154242550149,0.016757416661625512,0.016284421766178482,0.023247768530680626,1.6308741412398007,2.1427714443228854
620,0.0004415660166383617,0.05802568560829857,4/24/2015,0.0004415660166383617,0.012410686588816052,0.016306141690823346,0.015845884484122885,0.02262170925932986,1.6308741412398007,2.1427714443228854
622,0.003531751677169126,0.4922718340380309,4/28/2015,0.003531751677169126,0.011700532277722074,0.015373084785697507,0.014939164046138596,0.02132726803403096,1.6308741412398007,2.1427714443228854
625,0.00963631187973224,1.350153505737325,5/1/2015,0.00963631187973224,0.011639870425692698,0.015293382446319271,0.01486171138524257,0.021216696006454528,1.6308741412398007,2.1427714443228854
626,0.0026444931056888166,0.36170075087122894,5/4/2015,0.0026444931056888166,0.011923766849713448,0.01566638802360716,0.01522418850593163,0.02173417119350407,1.6308741412398007,2.1427714443228854
629,0.004812863412301027,0.6899905072245291,5/7/2015,0.004812863412301027,0.011375771698677446,0.014946388649299407,0.014524511836229801,0.020735307279445503,1.6308741412398007,2.1427714443228854
630,0.014579494812226201,2.1238195839880722,5/8/2015,0.014579494812226201,0.011195546580727392,0.014709594634036203,0.014294401569586897,0.020406800053812346,1.6308741412398007,2.1427714443228854
633,0.0004426338354219794,0.06172927008041506,5/13/2015,0.0004426338354219794,0.011712234607082043,0.015364885112002215,0.015072149415152494,0.021315892526699225,1.6333764738443461,2.1427714443228854
634,0.00978660810621168,1.4075440490811117,5/14/2015,0.00978660810621168,0.011356813628572528,0.014898620331249618,0.014614768029525544,0.020669037709168333,1.6333764738443461,2.1427714443228854
635,0.0017897496678518365,0.25015005257663536,5/15/2015,0.0017897496678518365,0.011686325752997141,0.015330896161152695,0.015038808030434423,0.021268739240610696,1.6333764738443461,2.1427714443228854
636,0.001792878164109446,0.2579464572684017,5/18/2015,0.001792878164109446,0.011352918139435694,0.014893509970584001,0.014609755032750362,0.020661948043484084,1.6333764738443461,2.1427714443228854
637,0.0008975078881148235,0.1329024126401833,5/19/2015,0.0008975078881148235,0.01103041126503401,0.01447042409165049,0.014194729893529127,0.02007499584311481,1.6333764738443461,2.1427714443228854
639,0.00044851527495382015,0.07057311703216311,5/21/2015,0.00044851527495382015,0.010380642503511988,0.013618014393153069,0.01335856052128681,0.018892437471253392,1.6333764738443461,2.1427714443228854
642,0.006222295335557071,0.9854336952524119,5/27/2015,0.006222295335557071,0.010313581586843406,0.013530039440918483,0.0132722616902051,0.018770388746957425,1.6333764738443461,2.1427714443228854
645,0.001328308106117504,0.21583962228411382,6/1/2015,0.001328308106117504,0.010052033948118887,0.013186923924953005,0.012935683298268465,0.018294380406559882,1.6333764738443461,2.1427714443228854
647,0.0039902178920794285,0.6876580583644328,6/3/2015,0.0039902178920794285,0.009477861781969073,0.012433686847370314,0.012196797084957904,0.01724940542133623,1.6333764738443461,2.1427714443228854
652,0.014925402625703299,2.6369167952448467,6/10/2015,0.014925402625703299,0.009231028159002622,0.012128454943687077,0.011792858271885013,0.01682595347833736,1.6076306301327545,2.1427714443228854
653,0.0031008889065109457,0.47025636553770894,6/11/2015,0.0031008889065109457,0.0106007793877404,0.014129518891874441,0.013719464723613165,0.019602053901326855,1.6308741412398007,2.276242059939605
656,0.006148512834414532,0.9514157404809869,6/16/2015,0.006148512834414532,0.010539504616203144,0.014710187065748385,0.01370584337382898,0.019681872708510125,1.6308741412398007,2.276242059939605
657,0.0013224527445938605,0.20521976037800305,6/17/2015,0.0013224527445938605,0.01050948495504094,0.014668288053657485,0.013666805032938455,0.019625812848842836,1.6308741412398007,2.276242059939605
658,0.009751640817381002,1.5587261857274366,6/18/2015,0.009751640817381002,0.010203009989405668,0.014240535114631041,0.013268257090700362,0.01905348981454149,1.6308741412398007,2.276242059939605
660,0.006224891510126618,0.967687069729866,6/22/2015,0.006224891510126618,0.010491009866157096,0.014642502020685892,0.013642779551307162,0.019591311763551673,1.6308741412398007,2.276242059939605
661,0.00044626836102423795,0.06950710961488756,6/23/2015,0.00044626836102423795,0.010470979646260677,0.014614545461779755,0.013616731737236128,0.019553906567322744,1.6308741412398007,2.276242059939605
664,0.0030869655873528856,0.4900322756398642,6/26/2015,0.0030869655873528856,0.010273715837874498,0.014339220612241617,0.013360204797923492,0.019185528611428703,1.6308741412398007,2.276242059939605
666,0.0004336245065790223,0.0580106999223984,6/30/2015,0.0004336245065790223,0.012190630275683756,0.017014694554902735,0.01585300972589457,0.022765247709427328,1.6308741412398007,2.276242059939605
667,0.008714689773814399,1.2023631370355221,7/1/2015,0.008714689773814399,0.011820523902689261,0.016498130050286008,0.015371713861939069,0.022074096959259507,1.6308741412398007,2.276242059939605
670,0.005247188989000229,0.7572491063558215,7/7/2015,0.005247188989000229,0.011300779049500291,0.015772712272574176,0.01469582426261101,0.021103505606641097,1.6308741412398007,2.276242059939605
672,0.0017303090162963386,0.2304864959407809,7/9/2015,0.0017303090162963386,0.012243303971078692,0.017088212233476785,0.01592150795662677,0.022863612576240533,1.6308741412398007,2.276242059939605
673,0.011757138521984345,1.61259179197682,7/10/2015,0.011757138521984345,0.011890432089433713,0.01659570223625547,0.015462624269302507,0.02220464617223407,1.6308741412398007,2.276242059939605
674,0.011453713206396543,1.5005776051806705,7/13/2015,0.011453713206396543,0.01244824967732335,0.017374258853974107,0.01618802463385367,0.023246336001045694,1.6308741412398007,2.276242059939605
675,0.004885713281087334,0.6173264659128266,7/14/2015,0.004885713281087334,0.012907244208062777,0.018014886251105488,0.01678491294851765,0.02410347988559102,1.6308741412398007,2.276242059939605
677,0.004015220554428822,0.5332729829170518,7/16/2015,0.004015220554428822,0.012279488335922436,0.017138715439755425,0.015968563037030398,0.022931184638574277,1.6308741412398007,2.276242059939605
679,0.0013391512752622958,0.1869674061696151,7/20/2015,0.0013391512752622958,0.011681111862097972,0.016303550013463144,0.015190418852130683,0.02181375359997742,1.6308741412398007,2.276242059939605
685,0.010398705951227605,1.4735144918295422,7/28/2015,0.010398705951227605,0.01150920519088818,0.016063616602602592,0.014966866987378378,0.021492728528714276,1.6308741412398007,2.276242059939605
686,0.0061162795887579335,0.8377507289444543,7/29/2015,0.0061162795887579335,0.011906742515719713,0.016618467008465,0.015483834767914807,0.0222351048840685,1.6308741412398007,2.276242059939605
687,0.00043836566620925055,0.060587641007043024,7/30/2015,0.00043836566620925055,0.011799753506576013,0.01646914041335508,0.015344703503643585,0.02203530952974619,1.6308741412398007,2.276242059939605
